"Cage","Date","Hour","Minute","HopsPerMinute","timestamp","Treatment","Sex","LightsOn","LightsOff","Phase"
15,2023-03-03,1,38,0,2023-03-03 01:38:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,39,0,2023-03-03 01:39:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,40,0,2023-03-03 01:40:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,41,0,2023-03-03 01:41:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,42,0,2023-03-03 01:42:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,43,0,2023-03-03 01:43:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,44,0,2023-03-03 01:44:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,45,0,2023-03-03 01:45:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,46,0,2023-03-03 01:46:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,47,0,2023-03-03 01:47:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,48,0,2023-03-03 01:48:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,49,0,2023-03-03 01:49:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,50,0,2023-03-03 01:50:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,51,0,2023-03-03 01:51:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,52,0,2023-03-03 01:52:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,53,0,2023-03-03 01:53:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,54,0,2023-03-03 01:54:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,55,0,2023-03-03 01:55:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,56,0,2023-03-03 01:56:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,57,0,2023-03-03 01:57:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,58,0,2023-03-03 01:58:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,1,59,0,2023-03-03 01:59:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,0,0,2023-03-03 02:00:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,1,0,2023-03-03 02:01:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,2,0,2023-03-03 02:02:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,3,0,2023-03-03 02:03:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,4,0,2023-03-03 02:04:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,5,0,2023-03-03 02:05:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,6,0,2023-03-03 02:06:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,7,0,2023-03-03 02:07:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,8,0,2023-03-03 02:08:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,9,0,2023-03-03 02:09:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,10,0,2023-03-03 02:10:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,11,0,2023-03-03 02:11:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,12,0,2023-03-03 02:12:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,13,0,2023-03-03 02:13:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,14,0,2023-03-03 02:14:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,15,0,2023-03-03 02:15:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,16,0,2023-03-03 02:16:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,17,0,2023-03-03 02:17:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,18,0,2023-03-03 02:18:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,19,0,2023-03-03 02:19:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,20,0,2023-03-03 02:20:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,21,0,2023-03-03 02:21:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,22,0,2023-03-03 02:22:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,23,0,2023-03-03 02:23:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,24,0,2023-03-03 02:24:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,25,0,2023-03-03 02:25:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,26,0,2023-03-03 02:26:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,27,0,2023-03-03 02:27:00,"LD","F","09:00 AM","09:00 PM","night"
15,2023-03-03,2,28,0,2023-03-03 02:28:00,"LD","F","09:00 AM","09:00 PM","night"
